codice,file,w,h,keep,elementi,item,item_w,item_h,dcol,dedge,ink,item_rot
MO508-3,MO508-3__solo.webp,1525,946,0.983,4,MO508-3__item.webp,505,649,54.1,0.1088,,
MO508-4,MO508-4__solo.webp,1525,947,0.983,4,MO508-4__item.webp,505,649,54.1,0.1088,,
MO509-2,MO509-2__solo.webp,1537,753,0.984,4,MO509-2__item.webp,806,678,82.08,0.1194,,
MO509-3,MO509-3__solo.webp,1567,883,0.982,5,MO509-3__item.webp,805,678,82.08,0.1194,,
MO509-5,MO509-5__solo.webp,1567,883,0.982,5,MO509-5__item.webp,805,679,82.08,0.1194,,
MO509-6,MO509-6__solo.webp,1538,753,0.984,4,MO509-6__item.webp,805,678,82.08,0.1194,,
PA001,PA001__solo.webp,965,845,0.966,3,PA001__item.webp,727,150,7.62,0.0995,,
PA002,PA002__solo.webp,1187,904,0.969,3,PA002__item.webp,900,142,7.62,0.0995,,
PA003,PA003__solo.webp,1376,966,0.97,3,PA003__item.webp,900,105,7.62,0.0995,,
PA003A,PA003A__solo.webp,1258,971,0.954,3,PA003A__item.webp,900,78,7.62,0.0995,,
PA004,PA004__solo.webp,1344,974,0.952,3,PA004__item.webp,900,64,7.62,0.0995,,
PA005,PA005__solo.webp,872,852,0.739,4,PA005__item.webp,563,67,13.61,0.1582,,
PA006,PA006__solo.webp,903,691,0.737,5,PA006__item.webp,669,80,13.61,0.1582,,
PA007,PA007__solo.webp,1151,872,0.753,5,PA007__item.webp,878,72,13.61,0.1582,,
PA008,PA008__solo.webp,1263,929,0.76,5,PA008__item.webp,900,49,13.61,0.1582,,
PA010,PA010__solo.webp,1527,950,0.989,5,PA010__item.webp,209,900,,,,
PA011,PA011__solo.webp,1450,954,0.991,4,PA011__item.webp,459,183,,,,
PA012-01,PA012-01__solo.webp,1533,851,0.991,3,PA012-01__item.webp,387,328,15.02,0.0972,,
PA012-02,PA012-02__solo.webp,940,849,0.779,2,PA012-02__item.webp,386,329,15.02,0.0972,,
PA012-06,PA012-06__solo.webp,1178,851,0.766,3,,,,15.02,0.0972,,
PA016,PA016__solo.webp,1530,965,0.991,1,PA016__item.webp,900,711,82.58,0.3015,,
PA017,PA017__solo.webp,1557,852,0.993,5,PA017__item.webp,900,772,,,,
PA102,PA102__solo.webp,1529,821,0.932,6,PA102__item.webp,403,805,,,,
PA103,PA103__solo.webp,1528,899,0.988,4,PA103__item.webp,794,374,,,,
PA104,PA104__solo.webp,1549,848,0.988,4,PA104__item.webp,610,515,,,,
PA105,PA105__solo.webp,1528,938,0.991,5,PA105__item.webp,878,853,,,,
PA106,PA106__solo.webp,1527,901,0.986,3,PA106__item.webp,686,369,,,,
PA107,PA107__solo.webp,1530,942,0.991,8,PA107__item.webp,609,326,7.85,0.1321,,
PA108,PA108__solo.webp,1528,940,0.992,9,PA108__item.webp,189,207,7.85,0.1321,,
PA109,PA109__solo.webp,1527,940,0.984,6,PA109__item.webp,199,900,,,,
PA110,PA110__solo.webp,1528,898,0.989,5,PA110__item.webp,394,511,,,,
PA1101-1,PA1101-1__solo.webp,1521,951,0.987,4,PA1101-1__item.webp,324,605,31.54,0.0242,,
PA1101-2,PA1101-2__solo.webp,1521,957,0.987,4,PA1101-2__item.webp,314,600,31.54,0.0242,,
PA1102,PA1102__solo.webp,1528,943,0.983,6,PA1102__item.webp,364,900,,,,
PA1104,PA1104__solo.webp,1528,939,0.957,5,PA1104__item.webp,900,181,82.58,0.3015,,
PA1105,PA1105__solo.webp,1531,950,0.989,3,PA1105__item.webp,714,307,,,,
PA112,PA112__solo.webp,1528,930,0.992,3,PA112__item.webp,704,355,,,,
PA117,PA117__solo.webp,578,944,0.917,2,PA117__item.webp,288,854,32.9,0.2446,,
PA117C,PA117C__solo.webp,641,757,0.946,4,PA117C__item.webp,164,757,32.9,0.2446,,
PA118-1,PA118-1__solo.webp,1083,773,0.92,3,PA118-1__item.webp,228,602,47.69,0.0184,,
PA118-2,PA118-2__solo.webp,1082,771,0.92,3,PA118-2__item.webp,228,599,47.69,0.0184,,
PA118-3,PA118-3__solo.webp,1082,771,0.92,3,PA118-3__item.webp,229,599,47.69,0.0184,,
PA119-1,PA119-1__solo.webp,1182,758,0.856,7,PA119-1__item.webp,255,700,22.57,0.0161,,
PA119-2,PA119-2__solo.webp,1185,758,0.852,6,PA119-2__item.webp,251,700,22.57,0.0161,,
PA120M,PA120M__solo.webp,1528,944,1.0,5,PA120M__item.webp,95,900,,,,
PA122,PA122__solo.webp,495,444,0.98,1,PA122__item.webp,468,450,1.97,0.1887,,
PA122L,PA122L__solo.webp,856,738,0.987,2,PA122L__p2.webp,352,738,1.97,0.1887,,
PA123B,PA123B__solo.webp,647,862,0.836,2,PA123B__item.webp,84,318,17.13,0.175,,
PA123D,PA123D__solo.webp,1534,943,0.982,4,PA123D__item.webp,288,852,17.13,0.175,,
PA124,PA124__solo.webp,1463,956,0.977,4,PA124__item.webp,297,886,38.02,0.0818,,
PA124C,PA124C__solo.webp,1456,947,0.984,4,PA124C__item.webp,246,900,38.02,0.0818,,
PA125,PA125__solo.webp,1101,915,0.945,5,PA125__item.webp,232,651,38.74,0.1893,,
PA125C,PA125C__solo.webp,1474,851,0.951,3,,,,38.74,0.1893,,
PA127,PA127__solo.webp,1478,956,0.954,7,PA127__item.webp,284,763,38.74,0.1893,,
PA130,PA130__solo.webp,1524,942,0.992,3,PA130__item.webp,683,453,,,,
PA131,PA131__solo.webp,1050,838,0.877,3,PA131__item.webp,662,242,37.47,0.0146,,
