famiglia,capitolo,sottocategoria,n_codici,membri,sug_finestra,sug_gruppo,sug_nota,gruppo,separa,finestra,img,descrizione,badge,nota
PN346-05,UFFICIO,NOTE ADESIVE,3,PN346-01 PN346-02 PN346-05,,MP NOTE ADESIVE TRASPARENTI · M3 stesso design 2 formati,,MP NOTE ADESIVE TRASPARENTI,,,,,,
PN347-03,UFFICIO,NOTE ADESIVE,2,PN347-02 PN347-03,,MP NOTE ADESIVE TRASPARENTI · M3 stesso design 2 formati,,MP NOTE ADESIVE TRASPARENTI,,,,,,
PN350-03,UFFICIO,NOTE ADESIVE,2,PN350-01 PN350-03,,,,,,,,,,
PN353,UFFICIO,NOTE ADESIVE,1,PN353-01,,,,,,,,,,
PN823,UFFICIO,NOTE ADESIVE,16,PN810 PN811 PN812 PN813 PN814 PN815 PN816 PN817-01 PN817-02 PN817-03 PN817-04 PN817-05 PN820 PN821 PN822 PN823,PN817-02 · W2 taglia media,,,,,PN817-02,,,,
PA902,UFFICIO,ORGANIZER,3,PA902 PA902P PA902PL,,MP ORGANIZER DA SCRIVANIA SCOMPARTI NERO · M3 stesso design 2 formati,,MP ORGANIZER DA SCRIVANIA SCOMPARTI NERO,,,,,,
PA903,UFFICIO,ORGANIZER,3,PA903 PA903P PA903PL,,,,,,,,,,
PA904,UFFICIO,ORGANIZER,3,PA904 PA904P PA904PL,,MP ORGANIZER DA SCRIVANIA SCOMPARTI NERO · M3 stesso design 2 formati,,MP ORGANIZER DA SCRIVANIA SCOMPARTI NERO,,,,,,
PA924B,UFFICIO,ORGANIZER,2,PA924B PA924N,,,,,,,,,,
PA925B,UFFICIO,ORGANIZER,2,PA925B PA925N,,,,,,,,,,
PA926B,UFFICIO,ORGANIZER,2,PA926B PA926N,,,,,,,,,,
PA927B,UFFICIO,ORGANIZER,2,PA927B PA927N,,,,,,,,,,
PA621,UFFICIO,PERFORATORI,1,PA621,,,,PA621,,,,,,
PA622,UFFICIO,PERFORATORI,1,PA622,,,,PA621,,,,,,
PA623,UFFICIO,PERFORATORI,1,PA623,,,,PA621,,,,,,
PA624,UFFICIO,PERFORATORI,1,PA624,,MP PERFORATORE REGOLABILE FORI NERO · M3 stesso design 2 formati,,MP PERFORATORE REGOLABILE FORI NERO,,,,,,
PA625,UFFICIO,PERFORATORI,1,PA625,,MP PERFORATORE REGOLABILE FORI NERO · M3 stesso design 2 formati,,MP PERFORATORE REGOLABILE FORI NERO,,,,,,
PA643,UFFICIO,PERFORATORI,1,PA643,,MP PERFORATORE A FORI FF · M3 stesso design 2 formati,,MP PERFORATORE A FORI FF,,,,,,
PA650,UFFICIO,PERFORATORI,1,PA650,,,,,,,,,,
PA651,UFFICIO,PERFORATORI,1,PA651,,MP PERFORATORE A FORI FF · M3 stesso design 2 formati,,MP PERFORATORE A FORI FF,,,,,,
PA652,UFFICIO,PERFORATORI,1,PA652,,,,,,,,,,
PA653,UFFICIO,PERFORATORI,1,PA653,,,,,,,,,,
PA103,UFFICIO,PERFORATRICI,1,PA103,,,,,,,,,,
PA104,UFFICIO,PERFORATRICI,1,PA104,,,,,,,,,,
PA105,UFFICIO,PERFORATRICI,1,PA105,,,,,,,,,,
PA107,UFFICIO,PERFORATRICI,1,PA107,,MP PERFORATRICE MANUALE 1FORO COL. ASS. · M3 stesso design 2 formati,,MP PERFORATRICE MANUALE 1FORO COL. ASS.,,,,,,
PA108,UFFICIO,PERFORATRICI,1,PA108,,MP PERFORATRICE MANUALE 1FORO COL. ASS. · M3 stesso design 2 formati,,MP PERFORATRICE MANUALE 1FORO COL. ASS.,,,,,,
PA160,UFFICIO,PINZATRICI,1,PA160G,,,,,,,,,,
PA531,UFFICIO,PINZATRICI,1,PA531-1,,MP CUCITRICE BIANCA SENZA PUNTI METALLICI · M3 stesso design 2 formati,,MP CUCITRICE BIANCA SENZA PUNTI METALLICI,,,,,,
PA532,UFFICIO,PINZATRICI,1,PA532-1,,MP CUCITRICE BIANCA SENZA PUNTI METALLICI · M3 stesso design 2 formati,,MP CUCITRICE BIANCA SENZA PUNTI METALLICI,,,,,,
PA601,UFFICIO,PINZATRICI,1,PA601,,,,,,,,,,
PA602,UFFICIO,PINZATRICI,1,PA602,,,,,,,,,,
PA603,UFFICIO,PINZATRICI,1,PA603,,,,,,,,,,
PA604,UFFICIO,PINZATRICI,1,PA604,,,,,,,,,,
PA606,UFFICIO,PINZATRICI,1,PA606,,,,,,,,,,
PA607,UFFICIO,PINZATRICI,1,PA607,,,,,,,,,,
PA609,UFFICIO,PINZATRICI,1,PA609,,MP PINZATRICE DA BANCO 24/6 26/6 METAL + RICARICA · M3 stesso design 2 formati,,MP PINZATRICE DA BANCO 24/6 26/6 METAL + RICARICA,,,,,,
PA611,UFFICIO,PINZATRICI,1,PA611,,MP PINZATRICE DA BANCO 24/6 26/6 METAL + RICARICA · M3 stesso design 2 formati,,MP PINZATRICE DA BANCO 24/6 26/6 METAL + RICARICA,,,,,,
PA612,UFFICIO,PINZATRICI,1,PA612,,MP MINI PINZATRICE 24/6 26/6 COL. ASS. + RICARICA · M3 stesso design 4 formati,,MP MINI PINZATRICE 24/6 26/6 COL. ASS. + RICARICA,,,,,,
PA613,UFFICIO,PINZATRICI,1,PA613,,MP MINI PINZATRICE 24/6 26/6 COL. ASS. + RICARICA · M3 stesso design 4 formati,,MP MINI PINZATRICE 24/6 26/6 COL. ASS. + RICARICA,,,,,,
PA615,UFFICIO,PINZATRICI,1,PA615,,MP PINZATRICE M 24/6 26/6 COL. ASS. + RICARICA PUN · M3 stesso design 2 formati,,MP PINZATRICE M 24/6 26/6 COL. ASS. + RICARICA PUN,,,,,,
PA616,UFFICIO,PINZATRICI,1,PA616,,MP PINZATRICE M 24/6 26/6 COL. ASS. + RICARICA PUN · M3 stesso design 2 formati,,MP PINZATRICE M 24/6 26/6 COL. ASS. + RICARICA PUN,,,,,,
PA620,UFFICIO,PINZATRICI,1,PA620,,MP MINI PINZATRICE 24/6 26/6 COL. ASS. + RICARICA · M3 stesso design 4 formati,,MP MINI PINZATRICE 24/6 26/6 COL. ASS. + RICARICA,,,,,,
PA627,UFFICIO,PINZATRICI,2,PA627 PA627C,,,,,,,,,,
PA628,UFFICIO,PINZATRICI,2,PA628 PA628C,,,,,,,,,,
PA629,UFFICIO,PINZATRICI,2,PA629 PA629C,,,,,,,,,,
PA630,UFFICIO,PINZATRICI,2,PA630 PA630C,,,,,,,,,,
PA631,UFFICIO,PINZATRICI,1,PA631,,,,,,,,,,
PA632,UFFICIO,PINZATRICI,1,PA632,,,,,,,,,,
PA633,UFFICIO,PINZATRICI,1,PA633,,,,,,,,,,
PA636,UFFICIO,PINZATRICI,2,PA636 PA636P,,MP MINI PINZATRICE 24/6 26/6 COL. ASS. + RICARICA · M3 stesso design 4 formati,,MP MINI PINZATRICE 24/6 26/6 COL. ASS. + RICARICA,,,,,,
PA638,UFFICIO,PINZATRICI,1,PA638,,,,,,,,,,
PA640,UFFICIO,PINZATRICI,1,PA640,,,,,,,,,,
PA641-01,UFFICIO,PINZATRICI,2,PA641-01 PA642-01,,,,,,,,,,
PA957,UFFICIO,PINZATRICI,1,PA957,,,,,,,,,,
PA1105,UFFICIO,PINZATRICI,1,PA1105,,,,,,,,,,
PN126-15,UFFICIO,PLANNER,1,PN126-12,,,,,,,,,,
PT201,UFFICIO,PLASTIFICATRICE,1,PT201,,,,,,,,,,
PA112,UFFICIO,PORTA NASTRI ADESIVI,1,PA112,,,,,,,,,,
PA130,UFFICIO,PORTA NASTRI ADESIVI,1,PA130,,,,,,,,,,
PA135,UFFICIO,PORTA NASTRI ADESIVI,1,PA135,,,,,,,,,,
PA520,UFFICIO,PORTA NASTRI ADESIVI,1,PA520,,,,,,,,,,
PA525,UFFICIO,PORTA NASTRI ADESIVI,1,PA525,,,,,,,,,,
PA528,UFFICIO,PORTA NASTRI ADESIVI,2,PA528 PA528P,,,,,,,,,,
PA922,UFFICIO,PORTA OMBRELLI,1,PA922,,,,,,,,,,
PA221,UFFICIO,PORTACARTE,2,PA221 PA221-S,,,,,,,,,,
PA343,UFFICIO,PORTACHIAVI,5,PA343-1 PA343-2 PA343-3 PA343-4 PA343-5,,,,,,,,,,
PA344,UFFICIO,PORTACHIAVI,3,PA344-1 PA344-2 PA344-3,,,,,,,,,,
PA355,UFFICIO,PORTACHIAVI,3,PA355-1 PA355-2 PA355-3,PA355-2 · W2 taglia media,,,,,PA355-2,,,,
PA533,UFFICIO,PORTACHIAVI,1,PA533,,,,,,,,,,
PA535,UFFICIO,PORTACHIAVI,1,PA535,,,,,,,,,,
PA907,UFFICIO,PORTACORRISPONDENZA,1,PA907,,,,,,,,,,
PO016,UFFICIO,PORTACORRISPONDENZA,7,PO001 PO002 PO003 PO004 PO005 PO006 PO007,PO003 · W1 colore di punta BLU,,,,,PO003,,,,
PA905,UFFICIO,PORTADOCUMENTI,1,PA905,,,,,,,,,,
PA906,UFFICIO,PORTADOCUMENTI,1,PA906,,MP PORTADOCUMENTI ORIZZONTALE VASSOI NERO · M3 stesso design 2 formati,,MP PORTADOCUMENTI ORIZZONTALE VASSOI NERO,,,,,,
PA908,UFFICIO,PORTADOCUMENTI,1,PA908,,MP PORTADOCUMENTI ORIZZONTALE VASSOI NERO · M3 stesso design 2 formati,,MP PORTADOCUMENTI ORIZZONTALE VASSOI NERO,,,,,,
PA954-0913,UFFICIO,PORTANOMI E PORTADEPLIANT,4,PA954-0913 PA954-1015 PA954-1318 PA954-2130,PA954-1318 · W2 taglia media,,,,,PA954-1318,,,,
PA966-01,UFFICIO,PORTANOMI E PORTADEPLIANT,4,PA966-01 PA966-05 PA966-07 PA966-09,PA966-07 · W2 taglia media,,,,,PA966-07,,,,
PA900,UFFICIO,PORTAPENNE,4,PA900 PA900C PA900P PA900PL,PA900C · W1 colore di punta BLU,,,,,PA900C,,,,
PA901,UFFICIO,PORTAPENNE,4,PA901 PA901C PA901P PA901PL,PA901C · W1 colore di punta BLU,,,,,PA901C,,,,
PA914,UFFICIO,PORTAPENNE,1,PA914,,,,,,,,,,
PA915,UFFICIO,PORTAPENNE,1,PA915,,,,,,,,,,
PA916,UFFICIO,PORTAPENNE,1,PA916,,,,,,,,,,
PA933,UFFICIO,PORTAPENNE,1,PA933,,,,,,,,,,
PA934,UFFICIO,PORTAPENNE,1,PA934,,,,,,,,,,
PA939,UFFICIO,PORTAPENNE,1,PA939,,,,,,,,,,
PA945,UFFICIO,PORTAPENNE,1,PA945B,,,,,,,,,,
PA946,UFFICIO,PORTAPENNE,1,PA946B,,,,,,,,,,
PA948,UFFICIO,PORTAPENNE,1,PA948B,,,,,,,,,,
PA963,UFFICIO,PORTAPENNE,1,PA963N,,MP PORTAPENNE · M3 stesso design 3 formati,,MP PORTAPENNE,,,,,,
PA964,UFFICIO,PORTAPENNE,1,PA964N,,MP PORTAPENNE · M3 stesso design 3 formati,,MP PORTAPENNE,,,,,,
PA965,UFFICIO,PORTAPENNE,1,PA965B,,MP PORTAPENNE · M3 stesso design 3 formati,,MP PORTAPENNE,,,,,,
PA909,UFFICIO,PORTARIVISTE,1,PA909,,,,,,,,,,
PA166,UFFICIO,PULIZIA,1,PA166,,,,,,,,,,
PA167,UFFICIO,PULIZIA,1,PA167,,,,,,,,,,
PA230,UFFICIO,PULIZIA,1,PA230,,,,,,,,,,
PA140,UFFICIO,PUNTI METALLICI,2,PA140 PA140Q,,,,,,,,,,
PA141,UFFICIO,PUNTI METALLICI,2,PA141 PA141Q,,,,,,,,,,
PA165,UFFICIO,PUNTI METALLICI,1,PA165,,,,,,,,,,
PA183,UFFICIO,PUNTI METALLICI,1,PA183,,,,,,,,,,
PA212,UFFICIO,PUNTI METALLICI,1,PA212,,MP PUNTI METALLICI 23/13 CONF. 1000PZ ARGENTO · M3 stesso design 2 formati,,MP PUNTI METALLICI 23/13 CONF. 1000PZ ARGENTO,,,,,,
PA213,UFFICIO,PUNTI METALLICI,1,PA213,,MP PUNTI METALLICI 23/13 CONF. 1000PZ ARGENTO · M3 stesso design 2 formati,,MP PUNTI METALLICI 23/13 CONF. 1000PZ ARGENTO,,,,,,
PA220,UFFICIO,PUNTI METALLICI,1,PA220,,,,,,,,,,
PA132,UFFICIO,REGGILIBRI,1,PA132,,,,PA132,,,,,,
PA133,UFFICIO,REGGILIBRI,1,PA133,,,,PA132,,,,,,
PA131,UFFICIO,RILEGATORI,2,PA131 PA131P,,,,,,,,,,
PN340-02,UFFICIO,SCONTRINI ED ETICHETTE,2,PN340-02 PN340-03,,MP ETICHE. PREZZO FLUORESCENTI GIALLO · M3 stesso design 2 formati,,MP ETICHE. PREZZO FLUORESCENTI GIALLO,,,,,,
PN341-03,UFFICIO,SCONTRINI ED ETICHETTE,2,PN341-02 PN341-03,,MP ETICHE. PREZZO FLUORESCENTI GIALLO · M3 stesso design 2 formati,,MP ETICHE. PREZZO FLUORESCENTI GIALLO,,,,,,
PN345-03,UFFICIO,SCONTRINI ED ETICHETTE,2,PN345-02 PN345-03,,,,,,,,,,
PN529IT,UFFICIO,SCONTRINI ED ETICHETTE,1,PN533,,,,,,,,,,
PN108,UFFICIO,SEGNAPAGINE,1,PN108,,,,,,,,,,
PN109,UFFICIO,SEGNAPAGINE,1,PN109,,,,,,,,,,
PN110P,UFFICIO,SEGNAPAGINE,2,PN110 PN110P,,,,,,,,,,
PN310,UFFICIO,SEGNAPAGINE,1,PN310,,MP SEGNAPAGINE ADESIVI RIMOVIBILI COL. ASS · M3 stesso design 3 formati,,MP SEGNAPAGINE ADESIVI RIMOVIBILI COL. ASS,,,,,,
PN311,UFFICIO,SEGNAPAGINE,1,PN311,,MP SEGNAPAGINE ADESIVI RIMOVIBILI COL. ASS · M3 stesso design 3 formati,,MP SEGNAPAGINE ADESIVI RIMOVIBILI COL. ASS,,,,,,
PN312,UFFICIO,SEGNAPAGINE,1,PN312,,MP SEGNAPAGINE ADESIVI RIMOVIBILI COL. ASS · M3 stesso design 3 formati,,MP SEGNAPAGINE ADESIVI RIMOVIBILI COL. ASS,,,,,,
PN314,UFFICIO,SEGNAPAGINE,1,PN314,,,,,,,,,,
PN315,UFFICIO,SEGNAPAGINE,1,PN315,,MP SEGNAPAGINE ADESIVI RIMOVIBILI COL. ASS. · M3 stesso design 2 formati,,MP SEGNAPAGINE ADESIVI RIMOVIBILI COL. ASS.,,,,,,
PN316,UFFICIO,SEGNAPAGINE,1,PN316,,MP SEGNAPAGINE ADESIVI RIMOVIBILI COL. ASS. · M3 stesso design 2 formati,,MP SEGNAPAGINE ADESIVI RIMOVIBILI COL. ASS.,,,,,,
PA109,UFFICIO,SPARAMOLLE,1,PA109,,,,,,,,,,
PA341,UFFICIO,SPILLI,7,PA341-1 PA341-2 PA341-3 PA341-4 PA341-5 PA341-6 PA341-7,,,,,,,,,,
PA346,UFFICIO,SPILLI,4,PA346-1 PA346-2 PA346-3 PA346-4,,,,,,,,,,
PA347,UFFICIO,SPILLI,2,PA347-1 PA347-2,,,,,,,,,,
PA350,UFFICIO,SPILLI,3,PA350-1 PA350-2 PA350-3,,,,,,,,,,
PA356,UFFICIO,SPILLI,2,PA356-1 PA356-2,,,,,,,,,,
PA357,UFFICIO,SPILLI,1,PA357-1,,,,,,,,,,
PA358,UFFICIO,SPILLI,6,PA358-1 PA358-2 PA358-3 PA358-4 PA358-5 PA358-6,PA358-4 · W2 taglia media,,,,,PA358-4,,,,
PA016,UFFICIO,TAGLIACARTE,1,PA016,,MP TAGLIACARTA A RULLO · M3 stesso design 2 formati,,MP TAGLIACARTA A RULLO,,,,,,
PA017,UFFICIO,TAGLIACARTE,1,PA017,,,,,,,,,,
PA1104,UFFICIO,TAGLIACARTE,1,PA1104,,MP TAGLIACARTA A RULLO · M3 stesso design 2 formati,,MP TAGLIACARTA A RULLO,,,,,,
PH001,UFFICIO,TAGLIERINI,1,PH001,,,,,,,,,,
PH002,UFFICIO,TAGLIERINI,1,PH002,,,,,,,,,,
PH003,UFFICIO,TAGLIERINI,1,PH003,,,,,,,,,,
PH006,UFFICIO,TAGLIERINI,1,PH006,,,,,,,,,,
PA952-6035,UFFICIO,TAPPETINI,3,PA952-6035 PA952-8040 PA952-9043,PA952-8040 · W2 taglia media,,,,,PA952-8040,,,,
PO301R,UFFICIO,TIMBRI E INCHIOSTRI,3,PO301A PO301N PO301R,,,,,,,,,,
PO305R,UFFICIO,TIMBRI E INCHIOSTRI,3,PO305A PO305N PO305R,,,,,,,,,,
PM264,UFFICIO,TIMBRI TESSILI,1,PM264,,,,,,,,,,
PC005,ARCHIVIAZIONE,BUSTE,2,PC005 PC005-P,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE COL. ASS. · M3 stesso design 4 formati,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE COL. ASS.,,,,,,
PC006,ARCHIVIAZIONE,BUSTE,1,PC006,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE COL. ASS. · M3 stesso design 4 formati,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE COL. ASS.,,,,,,
PC007,ARCHIVIAZIONE,BUSTE,1,PC007,,,,,,,,,,
PC010,ARCHIVIAZIONE,BUSTE,1,PC010,,,,,,,,,,
PC011,ARCHIVIAZIONE,BUSTE,1,PC011,,MP BUSTA TRASPARENTE CHIUSURA RAPIDA COL. ASS. · M3 stesso design 3 formati,,MP BUSTA TRASPARENTE CHIUSURA RAPIDA COL. ASS.,,,,,,
PC012,ARCHIVIAZIONE,BUSTE,1,PC012,,,,,,,,,,
PC013,ARCHIVIAZIONE,BUSTE,1,PC013,,MP BUSTA TRASPARENTE LUCIDA CHIUSURA BOTTONE CO · M3 stesso design 3 formati,,MP BUSTA TRASPARENTE LUCIDA CHIUSURA BOTTONE CO,,,,,,
PC014,ARCHIVIAZIONE,BUSTE,1,PC014,,MP BUSTA TRASPARENTE LUCIDA CHIUSURA BOTTONE CO · M3 stesso design 3 formati,,MP BUSTA TRASPARENTE LUCIDA CHIUSURA BOTTONE CO,,,,,,
PC015,ARCHIVIAZIONE,BUSTE,1,PC015,,,,,,,,,,
PC016,ARCHIVIAZIONE,BUSTE,1,PC016,,,,,,,,,,
PC017,ARCHIVIAZIONE,BUSTE,1,PC017,,MP BUSTA TRASPARENTE CHIUSURA VELCRO COL. ASS. · M3 stesso design 2 formati,,MP BUSTA TRASPARENTE CHIUSURA VELCRO COL. ASS.,,,,,,
PC018,ARCHIVIAZIONE,BUSTE,1,PC018,,,,,,,,,,
PC019,ARCHIVIAZIONE,BUSTE,1,PC019,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE NEUTRO · M3 stesso design 4 formati,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE NEUTRO,,,,,,
PC020,ARCHIVIAZIONE,BUSTE,1,PC020,,,,,,,,,,
PC021,ARCHIVIAZIONE,BUSTE,1,PC021,,,,,,,,,,
PC022,ARCHIVIAZIONE,BUSTE,1,PC022,,,,,,,,,,
PC023,ARCHIVIAZIONE,BUSTE,1,PC023,,MP BUSTA TRASPARENTE CHIUSURA RAPIDA COL. ASS. · M3 stesso design 3 formati,,MP BUSTA TRASPARENTE CHIUSURA RAPIDA COL. ASS.,,,,,,
PC024,ARCHIVIAZIONE,BUSTE,1,PC024,,MP BUSTA TRASPARENTE CHIUSURA RAPIDA COL. ASS. · M3 stesso design 3 formati,,MP BUSTA TRASPARENTE CHIUSURA RAPIDA COL. ASS.,,,,,,
PC025,ARCHIVIAZIONE,BUSTE,1,PC025,,MP BUSTA TRASP. BICOLOR CHIUSURA BOTTONE COL. A · M3 stesso design 2 formati,,MP BUSTA TRASP. BICOLOR CHIUSURA BOTTONE COL. A,,,,,,
PC026,ARCHIVIAZIONE,BUSTE,1,PC026,,MP BUSTA TRASP. BICOLOR CHIUSURA BOTTONE COL. A · M3 stesso design 2 formati,,MP BUSTA TRASP. BICOLOR CHIUSURA BOTTONE COL. A,,,,,,
PC027,ARCHIVIAZIONE,BUSTE,3,PC027 PC027C PC027T,PC027C · W2 taglia media,MP BUSTA TRASPARENTE LUCIDA CHIUSURA BOTTONE CO · M3 stesso design 3 formati,,MP BUSTA TRASPARENTE LUCIDA CHIUSURA BOTTONE CO,,,,,,
PC028,ARCHIVIAZIONE,BUSTE,1,PC028,,,,,,,,,,
PC029,ARCHIVIAZIONE,BUSTE,2,PC029 PC029T,,,,,,,,,,
PC030,ARCHIVIAZIONE,BUSTE,1,PC030,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE NEUTRO · M3 stesso design 4 formati,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE NEUTRO,,,,,,
PC031,ARCHIVIAZIONE,BUSTE,1,PC031,,,,,,,,,,
PC035,ARCHIVIAZIONE,BUSTE,1,PC035,,,,,,,,,,
PC038,ARCHIVIAZIONE,BUSTE,1,PC038,,,,,,,,,,
PC039,ARCHIVIAZIONE,BUSTE,1,PC039,,,,,,,,,,
PC040,ARCHIVIAZIONE,BUSTE,1,PC040,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE COL. ASS. · M3 stesso design 4 formati,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE COL. ASS.,,,,,,
PC041,ARCHIVIAZIONE,BUSTE,1,PC041,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE NEUTRO · M3 stesso design 4 formati,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE NEUTRO,,,,,,
PC042,ARCHIVIAZIONE,BUSTE,1,PC042,,MP BUSTA TRASPARENTE CHIUSURA VELCRO COL. ASS. · M3 stesso design 2 formati,,MP BUSTA TRASPARENTE CHIUSURA VELCRO COL. ASS.,,,,,,
PC043,ARCHIVIAZIONE,BUSTE,1,PC043,,,,,,,,,,
PC044,ARCHIVIAZIONE,BUSTE,1,PC044,,MP BUSTA BIGLIETTI VISITA TRASPARENTE CHIUSURA VEL · M3 stesso design 2 formati,,MP BUSTA BIGLIETTI VISITA TRASPARENTE CHIUSURA VEL,,,,,,
PC045,ARCHIVIAZIONE,BUSTE,1,PC045,,MP BUSTA BIGLIETTI VISITA TRASPARENTE CHIUSURA VEL · M3 stesso design 2 formati,,MP BUSTA BIGLIETTI VISITA TRASPARENTE CHIUSURA VEL,,,,,,
PC048,ARCHIVIAZIONE,BUSTE,1,PC048,,,,,,,,,,
PC103,ARCHIVIAZIONE,BUSTE,1,PC103,,MP BUSTA MULTIUSO IN TESSUTO C/CERNIERA COL. AS · M3 stesso design 2 formati,,MP BUSTA MULTIUSO IN TESSUTO C/CERNIERA COL. AS,,,,,,
PC104,ARCHIVIAZIONE,BUSTE,1,PC104,,MP BUSTA MULTIUSO IN TESSUTO C/CERNIERA COL. AS · M3 stesso design 2 formati,,MP BUSTA MULTIUSO IN TESSUTO C/CERNIERA COL. AS,,,,,,
PC105,ARCHIVIAZIONE,BUSTE,1,PC105,,,,,,,,,,
PC113-A4,ARCHIVIAZIONE,BUSTE,7,PC113-A4 PC113-A5 PC113-A6 PC113-A7 PC113-B5 PC113-B6 PC113-B7,PC113-A7 · W2 taglia media,,,,,PC113-A7,,,,
PC148,ARCHIVIAZIONE,BUSTE,2,PC148 PC148-P,,,,,,,,,,
PC149,ARCHIVIAZIONE,BUSTE,1,PC149T,,,,,,,,,,
PC211,ARCHIVIAZIONE,BUSTE,1,PC211,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE COL. ASS. · M3 stesso design 4 formati,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE COL. ASS.,,,,,,
PC212,ARCHIVIAZIONE,BUSTE,1,PC212,,,,,,,,,,
PC213,ARCHIVIAZIONE,BUSTE,1,PC213,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE NEUTRO · M3 stesso design 4 formati,,MP BUSTA TRASPARENTE CHIUSURA BOTTONE NEUTRO,,,,,,
PC220,ARCHIVIAZIONE,BUSTE,1,PC220,,,,,,,,,,
PC221,ARCHIVIAZIONE,BUSTE,1,PC221,,MP BUSTA TRASLUCIDA CHIUSURA BOTTONE+PORTATESSE · M3 stesso design 2 formati,,MP BUSTA TRASLUCIDA CHIUSURA BOTTONE+PORTATESSE,,,,,,
PC222,ARCHIVIAZIONE,BUSTE,1,PC222,,,,,,,,,,
PC223,ARCHIVIAZIONE,BUSTE,1,PC223,,,,,,,,,,
PC224,ARCHIVIAZIONE,BUSTE,1,PC224,,MP BUSTA TRASLUCIDA CHIUSURA BOTTONE+PORTATESSE · M3 stesso design 2 formati,,MP BUSTA TRASLUCIDA CHIUSURA BOTTONE+PORTATESSE,,,,,,
PC225,ARCHIVIAZIONE,BUSTE,1,PC225,,,,,,,,,,
PC226,ARCHIVIAZIONE,BUSTE,1,PC226,,,,,,,,,,
PC227,ARCHIVIAZIONE,BUSTE,1,PC227,,,,,,,,,,
PC228,ARCHIVIAZIONE,BUSTE,1,PC228,,,,,,,,,,
PC230,ARCHIVIAZIONE,BUSTE,2,PC230 PC230T,,,,,,,,,,
PC539-01,ARCHIVIAZIONE,BUSTE,12,PC539-01 PC539-02 PC539-03 PC539-04 PC539-05 PC539-06 PC539-07 PC539-09 PC539-10 PC539-11 PC539-12 PC539-13,PC539-06 · W1 colore di punta BLU,MP BUSTA CHIUSURA BOTTONE NERO · M3 stesso design 3 formati,,MP BUSTA CHIUSURA BOTTONE NERO,,,,,,
PC540-01,ARCHIVIAZIONE,BUSTE,8,PC540-01 PC540-02 PC540-03 PC540-04 PC540-06 PC540-08 PC540-09 PC540-13,PC540-06 · W1 colore di punta BLU,MP BUSTA CHIUSURA BOTTONE NERO · M3 stesso design 3 formati,,MP BUSTA CHIUSURA BOTTONE NERO,,,,,,
PC541-01,ARCHIVIAZIONE,BUSTE,7,PC541-01 PC541-02 PC541-03 PC541-04 PC541-06 PC541-09 PC541-13,PC541-06 · W1 colore di punta BLU,MP BUSTA CHIUSURA BOTTONE NERO · M3 stesso design 3 formati,,MP BUSTA CHIUSURA BOTTONE NERO,,,,,,
PC555,ARCHIVIAZIONE,BUSTE,1,PC555,,,,,,,,,,
PC556,ARCHIVIAZIONE,BUSTE,1,PC556,,,,,,,,,,
PC901,ARCHIVIAZIONE,BUSTE,4,PC901 PC901-50 PC901-100IT PC901A5-50,PC901-100IT · W2 taglia media,,,,,PC901-100IT,,,,
PC902,ARCHIVIAZIONE,BUSTE,3,PC902-50IT PC902-100IT PC902IT,PC902-100IT · W2 taglia media,,,,,PC902-100IT,,,,
PC903,ARCHIVIAZIONE,BUSTE,3,PC903 PC903-50 PC903-100IT,PC903-50 · W2 taglia media,,,,,PC903-50,,,,
PC905,ARCHIVIAZIONE,BUSTE,1,PC905-50,,,,,,,,,,
PC059,ARCHIVIAZIONE,CARTELLE,1,PC059,,,,,,,,,,
PC074,ARCHIVIAZIONE,CARTELLE,1,PC074,,,,,,,,,,
PC075,ARCHIVIAZIONE,CARTELLE,1,PC075,,,,,,,,,,
PC076,ARCHIVIAZIONE,CARTELLE,1,PC076,,,,,,,,,,
PC092,ARCHIVIAZIONE,CARTELLE,1,PC092,,,,,,,,,,
PC101,ARCHIVIAZIONE,CARTELLE,1,PC101,,MP CARTELLA LEMBI CHIUSURA ELASTICO COL. ASS. · M3 stesso design 5 formati,,MP CARTELLA LEMBI CHIUSURA ELASTICO COL. ASS.,,,,,,
PC101IT,ARCHIVIAZIONE,CARTELLE,13,PC101IT PC101IT-01 PC101IT-02 PC101IT-03 PC101IT-04 PC101IT-05 PC101IT-06 PC101IT-07 PC101IT-08 PC101IT-09 PC101IT-F PC101IT-P PC101P,PC101IT-01 · W1 colore di punta BLU,MP CARTELLA LEMBI CHIUSURA ELASTICO COL. ASS. · M3 stesso design 5 formati,,MP CARTELLA LEMBI CHIUSURA ELASTICO COL. ASS.,,,,,,
